fatigue,interest,anxiety,clarity,distractions,resistance,sleep,stress,confidence,perfectionism,meaning,deadline,target
1,5,1,5,0,2,3,5,5,5,5,4,perfectionism
4,1,2,5,0,1,1,5,4,4,2,1,fatigue
1,4,2,1,1,2,3,4,5,5,2,4,no_meaning
1,4,4,3,0,5,1,1,1,2,2,5,fatigue
4,3,4,4,1,2,2,5,5,1,4,5,fatigue
3,5,2,1,0,2,3,2,3,4,4,4,perfectionism
5,2,3,5,1,5,2,1,3,5,5,2,fatigue
4,5,5,5,1,1,1,4,3,2,4,3,fatigue
1,1,5,1,0,1,3,1,2,4,3,1,boredom
1,3,2,3,1,4,3,1,1,3,5,1,distraction
1,5,1,1,0,5,4,5,2,3,4,5,low_confidence
2,5,5,1,0,5,2,3,1,3,1,4,fatigue
2,3,5,2,1,4,1,4,1,3,3,3,fatigue
3,4,5,2,1,4,2,5,2,5,5,1,fatigue
5,4,3,3,1,2,5,2,4,4,5,4,fatigue
4,4,4,5,1,4,1,5,4,5,3,4,fatigue
2,3,2,2,1,1,3,2,2,2,3,3,distraction
4,5,4,5,1,2,5,2,3,4,4,2,fatigue
5,4,5,5,0,5,1,2,4,5,5,4,fatigue
3,3,2,1,1,1,5,5,4,4,5,1,distraction
2,5,3,2,1,1,2,1,3,3,5,3,fatigue
1,5,3,2,1,5,1,5,5,2,4,1,fatigue
5,1,1,4,1,5,3,2,5,1,2,2,fatigue
2,1,1,4,0,3,1,3,3,2,1,2,fatigue
5,4,1,4,1,4,5,5,4,2,2,3,fatigue
1,3,4,2,0,5,5,3,5,3,3,5,fear
2,1,5,3,0,3,5,5,4,1,2,1,boredom
5,3,5,1,0,2,4,4,1,5,5,2,fatigue
5,2,4,5,0,1,1,5,3,1,3,3,fatigue
5,1,2,5,1,4,5,5,1,2,3,2,fatigue
3,1,1,2,0,5,2,1,3,5,4,1,fatigue
4,3,1,1,0,4,1,4,1,3,3,2,fatigue
1,2,4,5,0,1,3,2,4,2,5,3,boredom
3,2,3,3,1,2,3,4,4,4,2,3,boredom
5,2,5,1,1,1,2,1,4,3,4,1,fatigue
4,5,2,5,0,1,3,2,3,1,2,3,fatigue
1,3,2,2,0,2,3,3,2,5,1,4,no_meaning
1,2,3,2,0,1,5,5,2,3,3,1,boredom
4,2,2,2,1,5,1,2,1,1,4,3,fatigue
5,1,4,1,1,2,5,2,2,4,4,3,fatigue
5,4,5,1,0,1,4,2,4,3,4,2,fatigue
2,4,2,1,1,3,5,2,5,1,2,2,no_meaning
2,4,5,5,1,1,1,3,4,2,4,1,fatigue
4,4,2,4,0,2,3,4,1,3,4,2,fatigue
4,3,4,1,1,5,5,3,2,1,5,3,fatigue
4,4,1,5,1,1,4,5,2,3,5,1,fatigue
1,1,2,1,0,4,4,5,5,3,5,1,boredom
5,3,4,5,0,5,1,1,3,2,1,3,fatigue
4,5,1,2,1,3,2,3,1,4,1,1,fatigue
2,4,5,1,0,1,3,1,4,2,1,3,no_meaning
1,2,1,3,1,2,4,2,3,5,3,4,boredom
5,1,1,2,1,4,2,5,4,4,4,5,fatigue
1,1,4,5,1,1,5,3,3,1,2,4,boredom
4,1,4,5,1,3,1,3,2,1,4,5,fatigue
4,5,4,4,0,4,5,1,4,4,1,5,fatigue
4,4,5,2,1,3,1,5,4,4,2,4,fatigue
3,3,1,3,1,3,2,5,4,4,4,2,fatigue
1,3,4,5,1,2,2,2,2,3,3,4,fatigue
5,2,2,5,1,3,4,5,2,2,4,5,fatigue
